text,label
i support the adoption of this draft.,1
sorry for the late response. i had a discussion with qin yesterday on the responsibility of designated experts. i think i can do it.,0
"apologies for my late comments. i have read the document, and i think it is addressing an important problem and provides a useful contribution to reduce vulnerability; i recommend its adoption. that being said, let me mention that, with some colleagues, we are working on a possible future enhancements to roas. in particular, these enhancements involve an improvement to the maxlength mechanism, which may provide an efficient way allowing operators to announce sub-prefixes if/when the need arises ([link], to foil hijack and esp. ddos attacks). i'm also having sidebar discussions about this with the authors of this draft. but i think (and i think all of us do) that this idea, even if it turns out useful, should not delay the publication of the current proposal. obviously, any such change will require considerable discussion, evaluation, refinement and adoption period.",1
"many have raised the difficulty of establishing an identity for the network and confirming that claims received by the client were produced by the network operator. that is a challenge, but it is not my principal concern. my main concern is that when we move from encoding what the network offers to what it ""allows"", we are discussing the ietf blessing certain terms of service as technical standards. terms of service are a thoroughly human, legal construct, not a mechanical handshake. they represent an unbounded conceptual space that cannot be neatly quantized into an iana registry. their interpretation is subject to social norms and judges' rulings. does ""splitdnsallowed: false"" forbid the use of corporate vpn tunnels? dns entries already in cache? mdns? using ""dig"" over ssh? alternate dns servers if needed due to a medical emergency? namecoin? does ignoring this json blob constitute a violation of the us computer fraud and abuse act? i don't want answers; i want to make sure that we don't have to ask these questions. standardizing terms of service opens pandora's box. the list of things that someone somewhere wants to tell a user not to do on their network is endless, and the ietf should not be in the business of judging which of these requests are appropriate. (and we surely must judge, as some requests are clearly unconscionable.) as a practical matter, no such request can command ietf consensus, nor the consensus of this working group. that's why the add charter goes to some length to remind us not to be distracted by them. if you want to invest in improving network identity attribution, let's ensure that when users are reviewing the network's terms of service, they know exactly who the network operator is.",-1
"thanks for the updated draft. i don't, at this stage have anything to add but i believe that it should be a wg item. perhaps a question. the draft lists possible remedies, exemplified in [link] section 4 and 5. i assume that this may need to be communicated in [link] netdev. is this something that should be highlighted already now/soon or is an ietf approved rfc needed ?",0
"in my world (government pki systems), the ra doesn't get to do that. either the csr is accepted or it is rejected. the ca has a profile it follows, if the csr is missing things, the ca adds them before the certificate is signed. the ra can do none of that. in our case, most ras are actually people, so there can be a back channel to the requestor which can be used to sort it all out. how this all happens in the case of 'little things', i don't know. we do have a 'portal' for devices, but it would probably be quite 'heavy' for your use cases.",0
"ipsec is mentioned in ieee1588, so i guess it is already used to secure ptp, at least on hardware that doesn't have timestamping limited to ptp packets. for a vendor selling primary time servers it makes sense to support everything there is to support, but their number is normally much smaller than the number of secondary servers and clients. a network operator might want to limit the number of protocols used. if the network can support ptp (with boundary clocks or transparent clocks), it makes sense to use secured ptp. if it cannot support ptp, it's better to use ntp.",0
thank you for your comments and the discussion. all helped making the document better.,1
"this is an excellent optimization concept for rr scalability as well as limiting the number of paths per prefix reflected to the clients which can be enormous. verizon as well as other internet providers can take advantage of this solution and help reduce the number of paths being reflected to clients. i support advancement of this draft. minor comments on the draft text below: introduction paragraph 4 - i dont think hot potato routing is ever desirable where the rr is making the best path decision instead of the client is ever better in the case where the rr is not in the forwarding plane. the evolving model of intra-domain network design has enabled deployments of route reflectors outside of the forwarding path. initially this model was only employed for new services, [link] ip vpns [rfc4364 <[link]>], however it has been gradually extended to other bgp services including ipv4 and ipv6 internet. in such environments, hot potato routing policy remains desirable. has this feature been implemented by any vendor to test the viability and cpu resources necessary related to multiple decision processes due to igp location change?",1
"well, youre free to do that of course. and im free to object to your draft. here we sit, stuck. no one will begrudge you some recreation. :) the proposals approach to handling scale issues is to sweep things under the rug, which is very unsatisfying.",-1
this work is useful in sd-wan scenarios. i support the adoption of this draft.,1
designated experts/wg chairs - the authors of draft-ietf-lsr-isis-fast-flooding request early allocation for the top level tlv codepoint: flooding parameters tlv as specified in [link]#name-iana-considerations thanx. les (on behalf of the authors),0
"the purpose of the text is not to mandate 3pcc to be implemented in a specific way. the purpose is to point out that if 3pcc is implemented in a way that the 3pcc controller receives a subsequent bundle offer from an endpoint currently in a session, it needs to convert it into an initial bundle offer before forwarding it to an endpoint that is currently not in a session.",0
"yes, i'm aware of this aspect of message authentication. that wasn't my question. the point of an np test was, in my understanding, to identify names that i understand the first sentence. i do not see how the second follows. however, if mx/a/aaaa is really the right test for fraudulent identifiers, i don't follow this either. why do i need to provide case studies? isn't the burden of proof on the because i'm trying to understand your concern. sure, it's reasonable for us to question our assumptions. but if i don't understand how you get your premises, or how your premises lead to your conclusions, am i being unreasonable when i ask for clarification or concrete examples?",0
"that seems like a reasonable proposal to me! in terms of clarity on the other points that have come up in this thread, i double checked and it looks like we’ve got good text stating that: 1. the preferred_address cid is interchangeable with any other cid acquired via ncid frames 2. the active_connection_id_limit (and the set of “active” cids) includes the preferred_address and initial cid so that covers everything i think we’ve seen so far",1
"i believe we are on the same page, but the approach is a little bit different. see a few comments inline[ko], please.",1
"sometimes there are issues that have to be raised in public because the iesg doesn't want to talk about them. like that time that the chair of a working group who was also an ad in another area flagrantly abused their power by refusing to recognize wg consensus on a draft he personally opposed and filibustered the issue for over a year by referring it to a cabal for review and nobody on the iesg dared to acknowledge the situation because the wg chair might retaliate in iesg. if the only venue for talking truth to power is the law courts, that is where it is going to be taken. since then, a number of reforms have prevented a repeat. secdir and genart reviews explicitly state that they are not privileged and should be treated as other comments. the referral of a wg item to a directorate should never have been allowed then, it would be much harder to justify today. another important reform is that with the exception of genarea which is traditionally chaired by ietf chair, members of the iesg are not wg chairs. and there is a general expectation that ad tenure is limited to two terms with three being exceptional.",-1
"i see this document proposes 2 options for mvpn/evpn. one is using the destination address to carry the id of an mvpn/evpn, but this means that every bfr have to be aware of the mvpn/evpn instance, introducing state of mvpn/evpn service and forwarding overhead in transit bfr nodes. the other is to use an ipv6 address after a bier header and before the customer ip packet, however it proposes a new proto value and new process in forwarding plane. i think both of the options have obvious defects, and thus i do not support the adoption.",-1
"no in fact in typicall applications, where certificates are *identity* certificates, nothing should happen, certainly nothing quite as counter-productive as closing the connection. if the identity was valid at the start of the connection, it remains valid even after the certificate expires. do you delete all old signed mail from your mailbox when the s/mime certificate expires? now if the client makes various api requests during the lifetime of the connection, and these are subject to entitlement checks, you probably want to make sure that stale entitlements are not cached forever. therefore, with *capability* certs, it may indeed make sense to require a new client certificate after the original expires, and if that takes a new connection, then so be it.",0
this approach is optional. the intent here is to remove a handshake mechanism which is too complex and not always working. other people may come with different solution in the future if needed be.,0
support this very important work. the recent changes are well aligned with the definitions document. hope to see more details added in the this document going forward.,1
note that this is just a refresh from -01 for the upcoming idr interim on 24 january.,0
the 2021-04-21 interim session is now available on youtube at [link] many thanks to the secretariat for expediting this.,0
"although i agree with the general principle that we should keep things simple, imo thats also on the user. if they want to use any option per-fragment, its on them if that over complicates their work. afacit, these options are largely opaque at the udp layer - they dont authomatically do anything unless its defined - as per gorrys draft. its up to him to decide if theres a limit to his api and algorithms that use req/res; others can do otherwise. again, udp is all about the u.",0
"i'd like to add my support in favor of publishing the draft-ietf-dnssd-srp. i have read and reviewed the draft in detail (including the latest version) and i think it is good and ready to be published. srp is a solution which is intended for use/adoption in thread mesh networks. the use of unicast packets by srp makes it a preferred and more efficient approach. in openthread (open source) project, we have implemented the srp client and server (per the draft spec) which are available at:",1
"sounds like a very interesting and useful project. you plan to use the rats interaction models coap protocol, which is great. in charra, we also use it, more or less. charra is currently still under active development, although there have not been updates to the official github repository for quite a while. but, expect (major) updates in the not-too-distant future. :-) having a bluetooth binding for charra would be awesome. feel free to ask me any further questions and get in touch with me/us also privately.",1
thanks for your comments. i have made an update to the i-d based on your excellent review.,1
"i'll explain my position of not taking a stance on this document. the available data suggest that l4s and conventional traffic cannot coexist safely in the same rfc3168 signaling queue, and that those queues have been deployed to some extent. i don't think this is something that operational guidance by itself can fix, and would prefer to see that addressed first. however, i'm also not sure that impeding progress on this document is helpful. in case the wg decides that there is rough consensus to proceed with known safety issues, then i'd likely be among those insisting on wglc for this draft together with the l4s drafts. this will provide published information on what to expect, and document what issues were known by the ietf prior to approval for experiment. if the document is adopted, then i should be able to provide at least one review down the line.",-1
"dmarc does not assess ""honesty"" nor does it assess ""fraudulence"". it only determines whether something passes or fails the validation check. you are apparently trying to overload your value interpretations in a manner that does not exist in the standard.",-1
"i spend rather too much time doing disinformation analysis these days. but one of the issues that keeps coming up is what sartre called a 'bad faith' argument which is an unfortunate term in that people end up doing it without being aware of it, no malice involved. what sartre was describing was an argument in which there are two separate frames of reference used. the first frame is used to establish that x applies, then once that is achieved the first frame is discarded and x is interpreted in the second frame. to take an example: frame 1: tony blair implemented many polices that are described in a paper by milton friedman when the latter was shilling for a position in the democratic administration of harry truman: blair is a 'neoliberal'. frame 2: neoliberal milton friedman shilled for and was successful in getting a consulting role in the pinochet regime. therefore neoliberals support pinochet. therefore blair supports pinochet. therefore blair supports the mass murder of 30,000 people. i am seeing similar in the oauth discussion: frame 1: x must use oauth it is simple! frame 2: you have to understand how to apply oauth correctly. the turbo-encabulator mode is very powerful let me stroke my beard while you come to that understanding. and yes, folk are going to get upset about having their arguments presented in this fashion but i really don't know how else to get through to them the reasons why the people on the receiving end of those arguments are getting upset. there is a real problem in trying to get across unwelcome information. the ground problem for many of us with oauth is that we simply cannot understand it. and we rather suspect the problem isn't on our side. i have come to find that not being able to understand things that exceed a certain complexity is actually a profound advantage in architecture. the real value of formal methods turns out to be they force people to reduce the problem to something simple enough to write proofs about. this is one of the reasons i would like to see the ietf move towards a w3c style plenary in which wgs are required to provide short introductions to what they do. no, not status reports: an elevator pitch. because if nobody in the group can describe what is going on with clarity, well perhaps they don't know themselves. it is really difficult to know what to do in these circumstances. i tell people my criteria for adopting a technology early on. if they meet my criteria, i will attempt to make use of their work product. but i feel absolutely no obligation to do so if they don't.",-1
that is very much my observation as well. i predict that split-horizon dns and nat will somehow find a way to outlast the ip protocol itself.,0
i also support the adoption of the proposed draft into the quic wg. it represents a good solid basis addressing various use cases.,1
"network programming model [rfc8986] defines multiple flavors of end, [link], and [link] sids. csid draft builds on it with next and replace flavors for these sids. the draft reports multivendor interop was done to show co-existence of next and replace flavors. this is evidence that these flavors work seamless using srh based single data plane. i strongly support the adoption call.",1
"in my view, a call for adoption can be started at any time as it is only a check whether the wg wants to work on the topic (and that the topic fits the charter). in this case, if the wg thinks that the topic is worthless or too undefined, then indeed the document should not be adopted. but if the wg thinks that the topic is worth working on it and the i-d scope is well defined and workable, then let's adopt it. it is not a matter a time but more a matter of content. of course, we can expect multiple revisions before the wglc ;-)",0
i think this is an improvement.,1
thanks lucas! separate emails to boost the visibility of all design changes will be most appreciated!,1
"thanks for the feedback. will it be possible for you to propose the exact text change you would like to see and we could discuss that? i can draft the text but as you are the subject-matter-expert, i am sure you would do a much better job :)",1
i support adoption for reasons i mentioned in the ietf 110 meeting. i think we need may some more thought around the use of mky or similar to protect an msrp session—but this draft is a reasonable starting point.,1
"it is hard to follow where you are suggesting port-active needs to change, vs your i-d, or what is general feedback. as with all df-election algorithms port-active elects a df, a bdf and {[link]} ndfs. may we insist you start another, separate, thread to discuss the proposed i-d and not on the port-active wglc thread ?",-1
"as a nit, lo0/lo is almost always 1, because ""0"" means no scope :-) [if we could go back to 1985 and change bsd, we could make them name it lo1 :-)]",0
"working group, this is to start a two week poll on adopting draft-cheng-mpls-inband-pm-encapsulation as a mpls working group document. please send your comments (support/not support) to the mpls working group mailing list (mpls@[link]<mailto:mpls@[link]>). please give a technical motivation for your support/no support, especially if you think that the document should not be adopted as a working group document. we have done an ipr poll for this document. all the co-authors have responded that they are unaware of any iprs related to this draft. the working group adoption poll ends january 20, 2021.",0
i object the adoption of this document,-1
"thank you very much for doing this research, sebastian. we value your results and let me digest them and will come back to you. cj",1
"happy new year 2021! are there dnssd topics that you would like to discuss at ietf 110 (early march 2021, virtual)? if yes, please share them here. in particular, the chairs would like to see discussion of those topics on the list to justify scheduling an in-virtual-person meeting. the deadline for requesting a meeting is 1/22, so please start these discussions asap so the chairs can make a determination before then.",0
"i support publication with this addition. while the precise usage is beyond the scope of the document, it is clear that it would be useful for diagnostic purposes.",1
as a coauthor i support the adopting of the docs. they provide a good basis on the element to look for regarding srv6 compression and define the analysis of the different proposals out there.,1
the approach you've suggested sounds good. passing just the client_id along with the token and type (regardless of client type) would be consistent with how refresh_token requests are structured. as long as the new rfc obsoletes this one.,1
"if there is anyone willing to take notes from today's meeting, the chairs would appreciate it. these do not need to be he said/she said records of the conversation, just records of activity or decisions. ""the group discussed x and decided to go with option y from draft-somebody-good-idea-latest"" would be the style we need.",0
"i support the wg adoption. answers to the questions posted by the chair: 1) will this new orf filter reduce routing information at key points? yes, the proposed approach prevents more routes sent to a pe whose vrf overflows. 2) should the wg consider this draft given it has an ipr claim or would the idr wg prefer another approach? yes, because the ipr has frand royalty-bearing licenses 3) is this draft ready to be adopted and refined as wg draft? yes. some questions to the author: 1) on page 3 (right below figure 1), you have: ""when the vrf of vpn1 in pe1 overflows, due to pe1 and other pes are not ibgp neighbors, bgp maximum prefix features cannot work, so the problem on pe2 cannot be known"" do you mean that ""the problem on pe1 cannot be known"" to others? 2) 2 does pe1 have preconfigured ""bgp maximum prefixes"" expected from others? if more than expected prefixes are received, is it because other pes' fault in sending trashing prefixes? or is it because the pe1 configuration error? 3) rd-orf route-refresh message is propagated to all other pes, do all the pes receiving the message stop sending ""that vpn route"" (as described in [link]",1
"yes. perhaps as joe suggested: exporter_eap_tls_msk and exporter_eap_tls_emsk, which seem simple enough. alan dekok.",0
"as discussed in the ietf110 meeting, we start a two weeks adoption call on draft-tgraf-ipfix-mpls-sr-label-type-07: [link] please respond with your comments and thoughts on this draft. we will conclude on april 7, 2021.",0
"authors and contributors: we will need to reduce the author list to 5 authors and move the rest to contributors. i have ipr statements from the following authors: ketan talaulikar, clarence filsfils, and stefano previdi. i have ipr statements from the following contributors: acee linden and imtiyaz mohammad. i am missing ipr statements from the following authors no ipr: paul mattes, eric rosen, dhanendra jain, and steven lin. i am missing ipr statements from the following contributors: arjun sreekantiah, siva sivabalan, gaurav dawra, and peng shaofu. we cannot move forward to wg lc without all authors. for publication to the iesg, i need all authors and contributors. thank you, sue i",0
i am interested in the project.,1
"this is great work that's fairly widely deployed, so i think the wg should adopt it.",1
"thank you for your comments, suggestions, and discussion. it all helped to make the document better.",1
"it takes an awful lot here for me to bother to reply to a thread. here is a better algorithm to find the truth. purchase any of dozens of commercial routers today running cake or fq_codel, or the thousands available via reflash to openwrt/dd-wrt/tomato construct a repeatable experiment, and publish the code and results. the results from running, repeatable, code trumps theoretical objections every time. the evenroute v3 and edgerouter x series are pretty good bases for experimentation. wilful ignorance, and the lack of a willingness to construct repeatable experiments is not science. if you have a point to make, make it with a repeatable experiment against running code, please. tuning out again.",-1
"good news indeed! thank you and best regards, reto",1
"i think youre right that some of the foundational concepts have been around for a while. possibly the difference with slicing is the level of slos that are being offered, and the granularity of connectivity constructs within the service. the first of these takes us a step beyond vpns to enhanced vpns, but the second takes us into bundled services. the language about slicing being driven by 5g is inherited text. i am concerned that it comes close to marketing hype, but on the other hand it is trye that the concept (and name) of network slicing has received a huge boost as a result of the discussion of 5g. having reread your email, however, i dont see a specific request for a change to the document.",0
"i support the adoption of this draft. i think, the current transport network aware mobility for 5g draft defines well the framework for mapping the 5g mobile systems slice and service types (ssts) to the corresponding underlying network paths in the mobility domain. this framework allows us to expand the network characteristics beyond mobility domain to main end to end traffic behavior. the current draft has been expanded to have separate sub-ranges under each sst to provide the te path in preserving the security characteristics for certain mobile traffic. that is an important aspect for sd-wan hybrid use cases where traffic needs to be characterized for secure vs. un-secure tunnel in the data network. i think authors addressed several comments in the version 08 and it is in a decent shape. as a contributor, i support the wg adoption to continue our discussion and improve it further.",1
what compression mechanism are you referring to? i don't think we can know any reasonable value for n. i'm not really in favor of adding arbitrary limits to the protocol specification itself. is the above [link] complete?,0
"just a reminder that location in emergency calls can be carried in a mime body, as well as what we call “additional data” and protecting that against meddling and spoofing is very important. there are people looking at this specific issue, but a more generic way to protect a mime body would be helpful i think. from my point of view, we don’t need different mechanisms for different mime types, but we might need different attestation and attestation sources for different mime types.",0
thanks francesca! likewise :) looking forward to getting this work underway and hopefully finished up quickly!,1
"there is a lot of useful work in core's charter which is not getting done. i probably have even more wounds on this than you. but, we won't get it done here. let's not say we are going to try. it's because i think it's useful that i think it deserves its own place. when a wg has so many focuses it has no focuses. i point to opsawg. i think that we all agree that the existing charter would never get approved today. that's why rechartering is scary.",-1
"a working group last call has been requested for [link], timing parameters in the rpki based route origin validation supply chain. please reply to the list with your comments. the wglc will end on october 12, 2021. the draft can be found at: [link] authors, please reply indicating whether you're aware of any relevant ipr that hasn't been disclosed.",0
"that makes sense, an probably awareness is the key word here. in reply to igors comment: i meant exactly the opposite, most of the network/service functions will be virtualized with the possibility to deploy them in a wide variety of sites (antenna site, hub site, central office, regional data centers etc.) and finding the best compromise between sf location and te characteristics is absolutely a valid use case. the question im asking is whether it makes sense to add complexity to the transport orchestrator asking it to retrieve that information from the network or it is an info that can be passed to it as input. an example of request to the transport orchestrator could be: i need to create a service with non fixed end points with these given slo, the sites where i can place my workload are a, b, c and d. when the optimal path is identified the chosen sites are returned to the cloud orchestrator to deploy the network functions. in this case the pce has all the inputs to perform the dual optimization without duplicating into the transport orchestrator all the functionalities already present in other components of the solution. both approaches would work from a technical perspective, its just a matter of understanding what makes more sense.",0
"right, i was thinking of user=phone. phone-context and the other parameters are removed when applying the first bullet point in [link]",0
"if the network operator controls the endpoints (typical case inside an organization), it is easy (well, at least, possible) to do so. if it does not (case of an internet access provider), then it must not force the clients to use a specific resolver. today, the three drafts draft-pauly-add-deer, draft-btw-add-home and draft-box-add-requirements are, in my opinion, quite ""neutral"". they describe technical ways to send information to the client and does not say what to do with it. this is reasonable but my concern, from the beginning of the add effort, has always been that, should they be published as standards track rfcs, they will be regarded as mandatory-to-use ""the ietf said you must not use doh/dot except towards a resolver retrieved by these mechanisms"". this is why threat modelling and security considerations are very important.",0
there is a trade-off in complexity vs flexibility. so i think we need to have a discussion about quantifying both sides of the equation.,0
"excellent job breaking this down and making it clear to all of us!! the term partition is strong as i agree it implies underlay resources that are not shared, however group sounds like a perfect. pool goes to far in the other direction as if all resources are shared. bundle i think is at about the same as far as right context in line with group implying shared resources. however i think from a nomenclature perspective i like group better.",1
"it is a true pleasure dealing with pkix standards since there always seem to be several standards for doing the same thing :-( representation of private keys is one such item where the public counterpart sometimes (and for some algorithms [link]) is absent. i'm happy that the latter was properly addressed by jwk. fwiw, i have just updated the on-line jws/ct verifier with a jwk<->pem conversion utility: [link] btw, do you have any input to jws/ct ([link])? the authors are planning submitting this to the rfc editor. ",1
"this still contains this gem: ""* rtt_typ is taken as 25 ms. this is based on an average cdn latency measured in each country weighted by the number of internet users in that country to produce an overall weighted average for the internet [pi2param]. countries were ranked by number of internet users, and once 90% of internet users were covered, smaller countries were excluded to avoid unrepresentatively small sample sizes. also, importantly, the data for the average cdn latency in china (with the largest number of internet users) has been removed, because the cdn latency was a significant outlier and, on reflection, the experimental technique seemed inappropriate to the cdn market in china."" this is still massively misrepresenting the data from its original source and still seems to continue the fiction that in nigeria the average cdn latency to be 4ms. the whole ""theory"" of selecting the classic target seems to be wrong on multiple levels. ""this is based on an average cdn latency measured in each country"" is simply wrong, the study the data was sourced from measured the average rtt between up to 50 measurement nodes per country to 7 different cdns and reported per country the smallest per cdn average number. this is not a meaningful ""average cdn latency"" that is representative for the ""internet""[link] and removing china, because the value appears to hight for the taste of the authors seems scientifically [link] especially since nigeria s still included with an average cdn latency of 4ms, which, as i posted multiple times is not representative for [link] really, as it stands the [pi2param] briscoe, b""pi2 parameters"", technical report tr-bb-2021-001 arxiv:[link] [[link]], july 2021 <[link]>. would not make it through peer review.",-1
"as an author, i support the document. i think its a very interesting use case, that shows how lisp can support a global geo-localization index infrastructure. a good example of how a fast, scalable lookup infrastructure can support, up to a certain extent, use cases that are typically considered the domain of peer-to-peer architectures. the document articulates the peculiarities of the use case, providing a guide on how to leverage the h3 geospatial indexing system on top of lisp.",1
"the igp knows many things. i object to adding things to the lsdb that arent already there. if people want to leak things outside of the area, i object to that. i know that people do it already. yes, there are valid cases where its necessary and there are tools to do it. people abuse the privilege and then wonder why their igp has indigestion. go figure. i object to adding negative liveness to the lsdb because of the scale and because it adds scale during failures. my understanding is that n node failures would result in o(n) bytes added to the lsdb. if someone has a way to compress that information to o(1), i (and claude shannon) would be interested.",-1
"the design team closed a few remaining issues and pull requests. two pull requests turned out to fix the same text, so we needed to be sure we really liked the text we chose. on issue #208, wontfix: [link] [link] - attester we discussed the issue of how the rp trusts that the verifier is operating correctly. (who verifies the verifier?) this does not lead to architecting a ""unitary verifier/relying-party somewhere in the chain"", as the roles can still be split out. when we dealt with the ""mutual attestation"" issue, in [link] we changed text that has relevance to this issue. we have no issues open. no pull requests. if the shepherd hasn't already started, then they should please start.",0
"i don't have a desire to take this discussion any further, we have been there before. you have to weight the risks/benefits with your standpoint and how/if you wish to adapt to l4s, that's nothing that i (or anybody else?) can decide for you.",-1
thanks for the nudge on this. we just issued the wglc for this document. please send your reviews on that thread.,0
"congratulations, janos! very well deserved!",1
"well, yes, although i am not sure i have time to make progress on this very quickly. the aftermath of corona infection of a months ago definitely is not helping. and i am not a great fan of the idea of a whole wg waiting for me to finish this. :)",-1
"thank you for patiently going through several iterations of changes. the document is very ready. i had a very few nits or clarifications, should you choose to consider them for those, they are attached as html diff.",1
thanks very much for your comments. your perspective is correct. i will revise the document in the next version.,1
"is it going to do any good? there is/was a draft on client data minimization. what is happening with that? [link] after you have minimized things, what is left to hide with encryption? maybe we should encrypt everything so that we don't waste time discussing whether we need to encrypt everything. - we need something like a version field in order for a server to be able to support multiple versions on the same port number. that allows a fraction of a bit for client tracking, probably closer to a whole bit for early adopters when the version is changing. - i'm chasing buggy clients that send bursts of requests to pool servers. it would be convenient to have the name and version of the ntp package that generated the packet inside the packet where i can see it. :)",-1
"i have read the draft and find it very interesting. i've got a question, perhaps we can discuss: - if i understand it correctly, gdfh shim creates a new network layer. how you envision oam at that layer can be identified? bier uses protocol type. mpls - gal. ip - icmp and, in udp transport, well-known port numbers as the destination. could it be assigned value from this header registry? (note, that this header and header length appear swapped in [link] compared to [link] and [link])",1
"according to the [link] here is the -00 that just pulls in all of the text from the two contributing documents. my next step is to rationalise this a bit to avoid duplication and make sure the sections are in the right order. comments are, of course, welcome, but maybe focus on just the editorial work rather than the technical content (there'll be plenty of time for that later!). hoping to have the -01 within a week.",0
